Remote,Booth,stop_id.2013,Station.2013,Line.2013,Division.2013
R051,A002,R11,LEXINGTON AVE,456NQR,BMT
R050,A004,R11,LEXINGTON AVE,456NQR,BMT
R079,A006,R13,5 AVE-59 ST,NQR,BMT
R079,A007,R13,5 AVE-59 ST,NQR,BMT
R080,A010,R14,57 ST-7 AVE,NQR,BMT
R080,A011,R14,57 ST-7 AVE,NQR,BMT
R081,A013,R15,49 ST-7 AVE,NQR,BMT
R081,A014,R15,49 ST-7 AVE,NQR,BMT
R081,A015,R15,49 ST-7 AVE,NQR,BMT
R081,A016,R15,49 ST-7 AVE,NQR,BMT
R032,A021,127,42 ST-TIMES SQ,1237ACENQRS,BMT
R022,A022,R17,34 ST-HERALD SQ,BDFMNQR,BMT
R023,A025,R17,34 ST-HERALD SQ,BDFMNQR,BMT
R082,A027,R18,28 ST-BROADWAY,NR,BMT
R082,A029,R18,28 ST-BROADWAY,NR,BMT
R083,A030,R19,23 ST-5 AVE,NR,BMT
R083,A031,R19,23 ST-5 AVE,NR,BMT
R170,A033,635,14 ST-UNION SQ,456LNQR,BMT
R170,A034,635,14 ST-UNION SQ,LNQR456,BMT
R170,A035,635,14 ST-UNION SQ,LNQR456,BMT
R170,A036,635,14 ST-UNION SQ,LNQR456,BMT
R170,A037,635,14 ST-UNION SQ,LNRQ456,BMT
R085,A038,R21,8 ST-B'WAY NYU,NR,BMT
R085,A039,R21,8 ST-B'WAY NYU,NR,BMT
R086,A041,R22,PRINCE ST-B'WAY,NR,BMT
R086,A042,R22,PRINCE ST-B'WAY,NR,BMT
R462,A043,R23,CANAL ST,JNQRZ6,BMT
R462,A044,R23,CANAL ST,JNQRZ6,BMT
R463,A046,R23,CANAL ST,JNQRZ6,BMT
R087,A047,R24,MURRAY ST-B'WAY,R,BMT
R088,A050,R25,CORTLANDT ST,R,BMT
R088,A051,R25,CORTLANDT ST,R,BMT
R088,A052,R25,CORTLANDT ST,R,BMT
R088,A053,R25,CORTLANDT ST,R,BMT
R227,A054,R26,RECTOR ST,R,BMT
R227,A055,R26,RECTOR ST,R,BMT
R001,A058,R27,WHITEHALL ST,R1,BMT
R001,A060,R27,WHITEHALL ST,R1,BMT
R142,A061,M18,ESSEX ST,FJMZ,BMT
R311,A064,M19,BOWERY,JZ,BMT
R118,A066,M20,CANAL ST,JNQRZ6,BMT
R044,A069,M21,CHAMBERS ST,456JZ,BMT
R044,A071,M21,CHAMBERS ST,JZ456,BMT
R002,A077,M22,FULTON ST,ACJZ2345,BMT
R002,A081,M22,FULTON ST,ACJZ2345,BMT
R002,A082,M22,FULTON ST,ACJZ2345,BMT
R125,A083,M23,BROAD ST,JZ,BMT
R125,A084,M23,BROAD ST,JZ,BMT
R125,A085,M23,BROAD ST,JZ,BMT
R057,B001,235,ATLANTIC AVE,2345BDNQR,BMT
R057,B002,R31,ATLANTIC AVE,BDNQR2345,BMT
R171,B004,D25,7 AVE,BQ,BMT
R411,B009,901,PARK PLACE,S,BMT
R412,B010,S04,BOTANIC GARDEN,S2345,BMT
R196,B012,D26,PROSPECT PARK,BQS,BMT
R196,B013,D26,PROSPECT PARK,BQS,BMT
R148,B014,D27,PARKSIDE AVE,BQ,BMT
R098,B015,D28,CHURCH AVE,BQ,BMT
R098,B016,D28,CHURCH AVE,BQ,BMT
R262,B017,D29,BEVERLEY ROAD,BQ,BMT
R184,B018,D30,CORTELYOU ROAD,BQ,BMT
R149,B019,D31,NEWKIRK AVE,BQ,BMT
R263,B020,D32,AVE H,BQ,BMT
R228,B021,D33,AVE J,BQ,BMT
R229,B022,D34,AVE M,BQ,BMT
R211,B023,D35,KINGS HIGHWAY,BQ,BMT
R211,B024,D35,KINGS HIGHWAY,BQ,BMT
R211,B024A,D35,KINGS HIGHWAY,BQ,BMT
R150,B025,D37,AVE U,BQ,BMT
R230,B026,D38,NECK ROAD,BQ,BMT
R136,B027,D39,SHEEPSHEAD BAY,BQ,BMT
R136,B028,D39,SHEEPSHEAD BAY,BQ,BMT
R172,B029,D40,BRIGHTON BEACH,BQ,BMT
R172,B031,D40,BRIGHTON BEACH,BQ,BMT
R264,B032,D41,OCEAN PARKWAY,Q,BMT
R264,B034,D41,OCEAN PARKWAY,Q,BMT
R108,C001,232,BOROUGH HALL/CT,2345R,BMT
R089,C003,R29,JAY ST-METROTEC,R,BMT
R089,C004,R29,JAY ST-METROTEC,R,BMT
R099,C008,R30,DEKALB AVE,BDNQR,BMT
R057,C009,R31,PACIFIC ST,BDNQR2345,BMT
R231,C010,R32,UNION ST,R,BMT
R231,C011,R32,UNION ST,R,BMT
R258,C012,R33,9 ST,DFGMNR,BMT
R246,C014,R34,PROSPECT AVE,R,BMT
R454,C015,R34,PROSPECT AVE,R,BMT
R278,C016,R35,25 ST,R,BMT
R455,C017,R35,25 ST,R,BMT
R197,C018,R36,36 ST,DNR,BMT
R232,C019,R39,45 ST,R,BMT
R233,C020,R40,53 ST,R,BMT
R212,C021,R41,59 ST,NR,BMT
R212,C022,R41,59 ST,NR,BMT
R213,C023,R42,BAY RIDGE AVE,R,BMT
R214,C024,R43,77 ST,R,BMT
R215,C025,R44,86 ST,R,BMT
R215,C026,R44,86 ST,R,BMT
R216,C027,R45,BAY RIDGE-95 ST,R,BMT
R216,C028,R45,BAY RIDGE-95 ST,R,BMT
R390,D002,N02,8 AVE,N,BMT
R391,D003,N03,FT HAMILTON PKY,N,BMT
R391,D004,N03,FT HAMILTON PKY,N,BMT
R398,D005,N04,NEW UTRECHT AVE,ND,BMT
R398,D006,N04,NEW UTRECHT AVE,ND,BMT
R392,D008,N05,18 AVE,N,BMT
R393,D009,N06,20 AVE,N,BMT
R394,D010,N07,BAY PKY-22 AVE,N,BMT
R394,D011,N07,BAY PKY-22 AVE,N,BMT
R395,D012,N08,KINGS HIGHWAY,N,BMT
R396,D015,N09,AVE U,N,BMT
R397,D016,N10,86 ST,N,BMT
R368,E001,B12,9 AVE,D,BMT
R369,E003,B13,FT HAMILTON PKY,D,BMT
R234,E004,B23,50 ST,D,BMT
R247,E005,B15,55 ST,D,BMT
R370,E009,B17,71 ST,D,BMT
R371,E011,B18,79 ST,D,BMT
R372,E012,B19,18 AVE,D,BMT
R373,E013,B20,20 AVE,D,BMT
R374,E014,B21,BAY PARKWAY,D,BMT
R399,E015,B22,25 AVE,D,BMT
R400,E016,B23,BAY 50 ST,D,BMT
R151,G001,D43,STILLWELL AVE,DFNQ,BMT
R151,G009,D43,STILLWELL AVE,DFNQ,BMT
R312,G011,D42,W 8 ST-AQUARIUM,FQ,BMT
R312,G015,D42,W 8 ST-AQUARIUM,FQ,BMT
R175,H001,L01,8 AVE,ACEL,BMT
R163,H003,L02,6 AVE,FLM123,BMT
R330,H005,L05,3 AVE,L,BMT
R330,H006,L05,3 AVE,L,BMT
R248,H007,L06,1 AVE,L,BMT
R248,H008,L06,1 AVE,L,BMT
R235,H009,L08,BEDFORD AVE,L,BMT
R268,H012,L10,LORIMER ST,GL,BMT
R249,H013,L11,GRAHAM AVE,L,BMT
R249,H014,L11,GRAHAM AVE,L,BMT
R250,H015,L12,GRAND ST,L,BMT
R250,H016,L12,GRAND ST,L,BMT
R265,H017,L13,MONTROSE AVE,L,BMT
R294,H019,L14,MORGAN AVE,L,BMT
R279,H022,L15,JEFFERSON ST,L,BMT
R236,H023,L16,DEKALB AVE,L,BMT
R137,H026,L17,MYRTLE AVE,LM,BMT
R137,H027,L17,MYRTLE AVE,LM,BMT
R266,H028,L19,HALSEY ST,L,BMT
R266,H030,L19,HALSEY ST,L,BMT
R295,H032,L20,WILSON AVE,L,BMT
R313,H033,L21,BUSHWICK AVE,L,BMT
R348,H035,L24,ATLANTIC AVE,L,BMT
R349,H037,L25,SUTTER AVE,L,BMT
R350,H038,L26,LIVONIA AVE,L,BMT
R375,H039,L27,NEW LOTS AVE,L,BMT
R376,H040,L28,EAST 105 ST,L,BMT
R152,H041,L29,ROCKAWAY PKY,L,BMT
R460,J001,M16,MARCY AVE,JMZ,BMT
R460,J002,M16,MARCY AVE,JMZ,BMT
R352,J003,M14,HEWES ST,JM,BMT
R353,J005,M13,LORIMER ST,JM,BMT
R377,J007,M12,FLUSHING AVE,JM,BMT
R378,J009,M11,MYRTLE AVE,JMZ,BMT
R379,J012,J31,KOSCIUSZKO ST,J,BMT
R380,J013,J30,GATES AVE,JZ,BMT
R381,J016,J29,HALSEY ST,J,BMT
R432,J017,J28,CHAUNCEY ST,JZ,BMT
R433,J020,J24,ALABAMA AVE,J,BMT
R434,J021,J23,VAN SICLEN AVE,JZ,BMT
R435,J022,J22,CLEVELAND ST,J,BMT
R436,J023,J21,NORWOOD AVE,JZ,BMT
R437,J024,J20,CRESCENT ST,JZ,BMT
R003,J025,J19,CYPRESS HILLS,J,BMT
R004,J028,J17,ELDERTS LANE,JZ,BMT
R005,J030,J16,FOREST PARKWAY,J,BMT
R006,J031,J15,WOODHAVEN BLVD,JZ,BMT
R006,J032,J15,WOODHAVEN BLVD,JZ,BMT
R007,J034,J14,104 ST,JZ,BMT
R008,J035,J13,111 ST,J,BMT
R009,J037,J12,121 ST,JZ,BMT
R535,JFK01,H03,JFK HOWARD BCH,A,IND
R535,JFK02,H03,JFK HOWARD BCH,A,IND
R401,K017,M10,CENTRAL AVE,M,BMT
R413,K019,M09,KNICKERBOCKER,M,BMT
R402,K022,M06,SENECA AVE,M,BMT
R403,K024,M05,FOREST AVE,M,BMT
R404,K025,M04,FRESH POND ROAD,M,BMT
R100,K026,M01,METROPOLITAN AV,M,BMT
R538,LGA01,NA,LGA AIRPORT CTB,7,IRT
